cam_model,count,ev,arm_lat_ms
ILCE-7C,5,0.7ev,3093
ILCE-7SM3,9,0.7ev,313
ILCE-7M4,9,0.7ev,437
ILCE-7C,9,0.7ev,3484
ILCE-7RM4A,9,0.7ev,4109
ILCE-7SM3,3,1.0ev,328
ILCE-7M4,3,1.0ev,469
ILCE-7C,3,1.0ev,4406
ILCE-7RM4A,3,1.0ev,5329
ILCE-7SM3,5,1.0ev,329
ILCE-7M4,5,1.0ev,390
ILCE-7C,5,1.0ev,3016
ILCE-7RM4A,5,1.0ev,3734
ILCE-7SM3,9,1.0ev,329
ILCE-7M4,9,1.0ev,437
ILCE-7C,9,1.0ev,3579
ILCE-7RM4A,9,1.0ev,4110
ILCE-7SM3,3,2.0ev,281
ILCE-7M4,3,2.0ev,500
ILCE-7C,3,2.0ev,4281
ILCE-7RM4A,3,2.0ev,5187
ILCE-7SM3,5,2.0ev,359
ILCE-7M4,5,2.0ev,422
ILCE-7C,5,2.0ev,3031
ILCE-7RM4A,5,2.0ev,3688
ILCE-7SM3,3,3.0ev,313
ILCE-7M4,3,3.0ev,437
ILCE-7C,3,3.0ev,3422
ILCE-7RM4A,3,3.0ev,4016
ILCE-7SM3,5,3.0ev,375
ILCE-7M4,5,3.0ev,484
ILCE-7C,5,3.0ev,3031
ILCE-7RM4A,5,3.0ev,3781
ILCE-7SM3,3,0.3ev,250
ILCE-7M4,3,0.3ev,485
ILCE-7C,3,0.3ev,2875
ILCE-7RM4A,3,0.3ev,3656
ILCE-7SM3,5,0.3ev,313
ILCE-7M4,5,0.3ev,468
ILCE-7C,5,0.3ev,3047
ILCE-7RM4A,5,0.3ev,3797
ILCE-7SM3,9,0.3ev,328
ILCE-7M4,9,0.3ev,469
ILCE-7C,9,0.3ev,3563
ILCE-7RM4A,9,0.3ev,4266
ILCE-7SM3,3,0.5ev,343
ILCE-7M4,3,0.5ev,454
ILCE-7C,3,0.5ev,4422
ILCE-7RM4A,3,0.5ev,5438
ILCE-7SM3,5,0.5ev,359
ILCE-7M4,5,0.5ev,484
ILCE-7C,5,0.5ev,3063
ILCE-7RM4A,5,0.5ev,3750
ILCE-7SM3,9,0.5ev,313
ILCE-7M4,9,0.5ev,453
ILCE-7C,9,0.5ev,3594
ILCE-7RM4A,9,0.5ev,4157
ILCE-7SM3,3,0.7ev,359
ILCE-7M4,3,0.7ev,516
ILCE-7C,3,0.7ev,4484
ILCE-7RM4A,3,0.7ev,5313
ILCE-7SM3,5,0.7ev,281
ILCE-7M4,5,0.7ev,469
ILCE-7C,5,0.7ev,3032
ILCE-7RM4A,5,0.7ev,3781
ILCE-7SM3,9,0.7ev,328
ILCE-7M4,9,0.7ev,485
ILCE-7C,9,0.7ev,3532
ILCE-7RM4A,9,0.7ev,4109
ILCE-7SM3,3,1.0ev,313
ILCE-7M4,3,1.0ev,422
ILCE-7C,3,1.0ev,4328
ILCE-7RM4A,3,1.0ev,5329
ILCE-7SM3,5,1.0ev,360
ILCE-7M4,5,1.0ev,484
ILCE-7C,5,1.0ev,3062
ILCE-7RM4A,5,1.0ev,3547
ILCE-7SM3,9,1.0ev,313
ILCE-7M4,9,1.0ev,375
ILCE-7C,9,1.0ev,3422
ILCE-7RM4A,9,1.0ev,4188
ILCE-7SM3,3,2.0ev,250
ILCE-7M4,3,2.0ev,406
ILCE-7C,3,2.0ev,4157
