rep,ev,count,ss,ok,latency_ms,captures,retried
8,2.0ev,3,1/125,1,481,3,0
8,2.0ev,5,1/125,1,823,5,0
8,3.0ev,3,1/125,1,538,3,0
8,3.0ev,5,1/125,1,1242,5,0
9,0.3ev,3,1/125,1,477,3,0
9,0.3ev,5,1/125,1,696,5,0
9,0.3ev,9,1/125,1,1117,9,0
9,0.5ev,3,1/125,1,509,3,0
9,0.5ev,5,1/125,1,690,5,0
9,0.5ev,9,1/125,1,1139,9,0
9,0.7ev,3,1/125,1,465,3,0
9,0.7ev,5,1/125,1,709,5,0
9,0.7ev,9,1/125,1,1179,9,0
9,1.0ev,3,1/125,1,471,3,0
9,1.0ev,5,1/125,1,669,5,0
9,1.0ev,9,1/125,1,1291,9,0
9,2.0ev,3,1/125,1,479,3,0
9,2.0ev,5,1/125,1,851,5,0
9,3.0ev,3,1/125,1,516,3,0
9,3.0ev,5,1/125,1,1238,5,0
10,0.3ev,3,1/125,1,480,3,0
10,0.3ev,5,1/125,1,650,5,0
10,0.3ev,9,1/125,1,1139,9,0
10,0.5ev,3,1/125,1,487,3,0
10,0.5ev,5,1/125,1,678,5,0
10,0.5ev,9,1/125,1,1165,9,0
10,0.7ev,3,1/125,1,510,3,0
10,0.7ev,5,1/125,1,714,5,0
10,0.7ev,9,1/125,1,1177,9,0
10,1.0ev,3,1/125,1,491,3,0
10,1.0ev,5,1/125,1,709,5,0
10,1.0ev,9,1/125,1,1277,9,0
10,2.0ev,3,1/125,1,512,3,0
10,2.0ev,5,1/125,1,836,5,0
10,3.0ev,3,1/125,1,541,3,0
10,3.0ev,5,1/125,1,1258,5,0
